id,url,title,description,price,images,image_count,scraped_at
fridge_ea7bfaff3e,https://www.olx.in/item/fridges-c1617-high-quality-used-fridge-available-contact-us-in-ayyappankavu-kochi-iid-1748608809,High quality used fridge available contact us,Door delivery With replacement warranty All brands available Contact us - Fridges,4500,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/14.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/15.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ea7bfaff3e/16.jpg""]",16,2025-12-08 05:05:36.166159
fridge_a3c7d66602,https://www.olx.in/item/fridges-c1617-6500-low-price-fridge-washing-machine-available-delivery-aval-in-vakola-mumbai-iid-1828436880,6500/- LOW PRICE FRIDGE WASHING MACHINE AVAILABLE DELIVERY AVAL,"Good looking washing machine available with 5 years warranty Good looking fridge available with 5 years warranty Good looking and proper working condition Best 5 YEARS WARRANTY available @@ WE ARE FROM SHIFA ELECTRONICS OUR SHOP CAN PROVIDE HARDLY USED APPLIANCE @ BEST 5 YEAR'S WARRANTY FRIDGE /WASHING MACHINE AND TECHNICIANS SERVICE ALL OVER MUMBAI,, *WE CAN PROVIDE APPLIANCES LIKE * JUST SECOND HAND 2/3 YEAR'S USED APPLIANCE =[ BRAND =] = LG, SAMSUNG, WHIRLPOOL, HAIR, FRIDGE =] SINGLE DOOR FRIDGE AVAILABLE =] DOUBLE DOOR FRIDGE AVAILABLE WASHING MACHINE =] TOP LOAD FULLY AUTOMATIC WASHING MACHINE AVAILABLE =] SEMI WASHING MACHINE AVAILABLE 1. FRIDGE Single door :- 6500/- to 7500/- double door:- 8500/- to 15500/- 2. WASHING MACHINE Washing machine:- 6500/- to 12500/- 3. WINDOWS AC AVAILABLE 4. SPLIT AC AVAILABLE =[ WARRANTY ON APPLIANCE = = @ 5 YEAR'S COMPRESSOR WARRANTY ON FRIDGE. =@ 5 YEAR'S MOTOR WARRANTY ON WASHING MACHINE =@ NEW INLET AND OUT LET PIPE FREE FOR WASHING MACHINE ALSO AVAILABLE ON RENT BASIS 1) 500/- par month single door fridge 2) 500/- par month washing machine. 2) 700 /- par month double door fridge. FOR MORE DETAILS CALL US. SHIFA ELECTRONICS , PREM NAGAR, FISH MARKET, JOGESHWARI EAST. MUMBAI. Pin -400060. - Fridges",6500,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_a3c7d66602/14.jpg""]",14,2025-12-08 05:05:46.548972
fridge_51f1c0a7bd,https://www.olx.in/item/fridges-c1617-sell-my-fridge-in-merom-sereng-ranchi-iid-1828640275,Sell my fridge,Whirlpool Fridge - Fridges,5000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_51f1c0a7bd/14.jpg""]",14,2025-12-08 05:05:57.117727
fridge_e15f1f784a,https://www.olx.in/item/fridges-c1617-samsung-fridge-324-ltr-double-door-in-jp-nagar-phase-2-bengaluru-iid-1828637494,Samsung Fridge 324 Ltr Double door,Samsung fridge Double door 324 ltr 10year warranty Digital inverter Twin cooling Freezer- power freezer - Fridges,20000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_e15f1f784a/14.jpg""]",14,2025-12-08 05:06:04.386435
fridge_50501b42c7,https://www.olx.in/item/fridges-c1617-offer-offer-6500-fridge-washing-machine-available-in-dahisar-west-mumbai-iid-1827793312,[ OFFER OFFER [ 6500 /- FRIDGE] WASHING MACHINE AVAILABLE,"[ Good looking fridge washing machine available with warranty Fast delivery available at Mumbai Good working condition WE ARE FROM SHIFA ELECTRONICS OUR SHOP CAN PROVIDE HARDLY USED APPLIANCE BEST 5 YEAR'S WARRANTY FRIDGE /WASHING MACHINE AND TECHNICIANS SERVICE ALL OVER MUMBAI,, *WE CAN PROVIDE APPLIANCES LIKE * JUST SECOND HAND 2/3 YEAR'S USED APPLIANCE =[ BRAND =] = LG, SAMSUNG, WHIRLPOOL, HAIR, FRIDGE =] SINGLE DOOR FRIDGE AVAILABLE =] DOUBLE DOOR FRIDGE AVAILABLE WASHING MACHINE =] TOP LOAD FULLY AUTOMATIC WASHING MACHINE AVAILABLE =] SEMI WASHING MACHINE AVAILABLE 1. FRIDGE Single door :- 6500/- to 7500/- double door:- 8500/- to 15500/- 2. WASHING MACHINE Washing machine:- 6500/- to 12500/- 3. WINDOWS AC AVAILABLE 4. SPLIT AC AVAILABLE =[ WARRANTY ON APPLIANCE =] = 5 YEAR'S COMPRESSOR WARRANTY ON FRIDGE. =5 YEAR'S MOTOR WARRANTY ON WASHING MACHINE 1 YEAR'S COMPRESSOR WARRANTY ON AC. NEW INLET AND OUT LET PIPE FREE FOR WASHING MACHINE = ALSO AVAILABLE ON RENT BASIS 1) 500/- par month single door fridge 2) 500/- par month washing machine. 2) 700 /- par month double door fridge. ..FOR MORE DETAILS CALL US . SHIFA ELECTRONICS , PREM NAGAR, FISH MARKET, JOGESHWARI EAST. MUMBAI. Pin -400060. ISLAM SHAIKH. - Fridges",6500,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_50501b42c7/14.jpg""]",14,2025-12-08 05:06:13.692996
fridge_9a11aa1761,https://www.olx.in/item/fridges-c1617-whirlpool-refrigerator-in-thakurganj-lucknow-iid-1827297636,Whirlpool refrigerator,DC 300 E/ 2019 storage volume: 260 litres - Fridges,12000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_9a11aa1761/14.jpg""]",14,2025-12-08 05:06:21.769507
fridge_eebfe1c25f,https://www.olx.in/item/fridges-c1617-good-condition-deep-freezer-in-jwalapur-haridwar-iid-1828639848,Good condition  deep freezer,Deep freezer 1 yr old - Fridges,28000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_eebfe1c25f/14.jpg""]",14,2025-12-08 05:06:29.958245
fridge_4234eefd25,https://www.olx.in/item/fridges-c1617-combo-offer-on-samsung-top-load-washing-machine-whirlpool-fridge-in-electronic-city-bengaluru-iid-1794226514,combo offer on Samsung top load washing machine & whirlpool fridge,"Best combo offers in best price (Starting prices) * Top load washing machine starting in - ₹ 4500 * Front load washing machine starting in - ₹6500 * Single door fridge & top load w/m - ₹10990 * Double door fridge & Front load w/m - ₹ 13990 * Condition. : excellent working condition * Delivery : FREE doorstep delivery anywhere in banglore * Installation : FREE installation with brand new inlet and outlet pipes for washing machine * Warranty washingh machine : 3 years warranty for main motor & 6 months doorstep service warranty Free fridge : one year compresoor warranty & 6 months service free Now combo also available :: in Best price Payment mode : cash on delivery (UPI Payments, cash, ) Located at :1st main rd, kanaka nagar, RT nagar post, bengalore karnataka 560032 Limited offer hurry up!! FOR more details message me // - Fridges",4500,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/14.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/15.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_4234eefd25/16.jpg""]",16,2025-12-08 05:06:38.498138
fridge_d0d9eedea9,https://www.olx.in/item/fridges-c1617-second-hand-used-refrigerator-available-in-chellanam-kochi-iid-1748806990,Second hand used refrigerator available,Door delivery available Warranty available All brands available Single door double door available - Fridges,4000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/14.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/15.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_d0d9eedea9/16.jpg""]",16,2025-12-08 05:06:48.833647
fridge_df0a4927b0,https://www.olx.in/item/fridges-c1617-whirlpool-double-door-fridge-for-sale-in-velacheri-ballamuruan-nagar-chennai-iid-1825225840,Whirlpool double door fridge for sale,"Used Whirlpool double door , bottom frizer , for sale as is where condition - Fridges",11000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_df0a4927b0/14.jpg""]",14,2025-12-08 05:06:58.898474
fridge_7061a6e044,https://www.olx.in/item/fridges-c1617-less-used-washing-machine-available-in-azeer-kochi-iid-1748609418,Less used washing machine available,Door delivery With replacement warranty All brands available Contact us - Fridges,5000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/14.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/15.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_7061a6e044/16.jpg""]",16,2025-12-08 05:07:06.967886
fridge_904c879f61,https://www.olx.in/item/fridges-c1617-single-door-fridge-on-sale-in-ace-divino-greater-noida-iid-1828640885,Single door fridge on sale,Selling our one door working fridge - Fridges,5000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_904c879f61/14.jpg""]",14,2025-12-08 05:07:15.279217
fridge_221b285dcc,https://www.olx.in/item/fridges-c1617-brand-used-fridge-available-in-chakkalakkal-kochi-iid-1748611483,Brand used fridge available,All brands Available With replacement warranty All brands Available Free home delivery - Fridges,4000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/14.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/15.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_221b285dcc/16.jpg""]",16,2025-12-08 05:07:25.205063
fridge_ec1c858eed,https://www.olx.in/item/fridges-c1617-second-hand-fridge-sales-in-singaramplalayam-kinathukadavu-iid-1828639854,Second Hand fridge Sales,"Good working condition Delivery arranged Warranty provided Good service All branded & models available Shop:-palakkad, coimbatore - Fridges",4300,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_ec1c858eed/14.jpg""]",14,2025-12-08 05:07:34.460329
fridge_394ce10f5b,https://www.olx.in/item/fridges-c1617-urgent-sell-in-makarwali-ajmer-iid-1828640915,Urgent Sell,Condition is good working condition - Fridges,5000,"[""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/1.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/2.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/3.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/4.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/5.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/6.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/7.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/8.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/9.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/10.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/11.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/12.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/13.jpg"", ""/content/drive/MyDrive/olx_fridges_dataset/images/fridge_394ce10f5b/14.jpg""]",14,2025-12-08 05:07:45.040433
