id,url,title,description,price,images,image_count,scraped_at
cycle_01d450643b,https://www.olx.in/item/bicycles-c1415-used-btwin-in-boganahalli-road-bengaluru-iid-1825952885,Almost New! Rockrider ST-Series Cycle-Single Speed-Purchased Nov 2024,"This ROCKRIDER single-speed cycle is in excellent, near-new condition. ​Age: Less than 1 year old (Purchased November 11, 2024). ​Usage: Exclusively for smooth office commuting—very low wear and tear. ​Color: Unique Salmon/Orange. ​Complete Accessory Package Included: ​The sale includes all essential accessories purchased with the bike, giving you a full, ready-to-ride setup: ​High-Quality Pump, Bike Lock, Mudguards, and Kickstand. ​Added comfort with Memory Foam Seat Cover. ​Reason for Selling: Relocating. ​Location: Devarabeesanhalli ​Asking Price (All-Inclusive): ₹7500 ​Serious buyers only. Please contact only if you agree with the fixed price. - Bicycles",7500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_01d450643b/8.jpg""]",8,2025-12-07 09:53:02.923975
cycle_eb99e0c799,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-sector-12-chandigarh-iid-1828580815,Alpha Tokyo 27.5T,Good condition - Bicycles,3500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/8.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/9.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/10.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/11.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/12.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/13.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_eb99e0c799/14.jpg""]",14,2025-12-07 09:53:10.677170
cycle_2c2e348787,https://www.olx.in/item/bicycles-c1415-used-hercules-in-narsingh-nagar-solapur-iid-1828579873,Hercules cycle for sale,Bicycle for sale of Hercules brand - Bicycles,2000,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_2c2e348787/8.jpg""]",8,2025-12-07 09:53:16.494640
cycle_5dfd3e5ab4,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-titagarh-kolkata-iid-1828581231,Roxy bycycle,Buy new bike - Bicycles,2900,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5dfd3e5ab4/8.jpg""]",8,2025-12-07 09:54:02.478879
cycle_a4e01e0982,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-cc-colony-delhi-iid-1828580890,Foxster Good condition,Good condition - Bicycles,10000,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/8.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/9.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/10.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/11.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/12.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/13.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_a4e01e0982/14.jpg""]",14,2025-12-07 09:55:37.219465
cycle_373dbaa804,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-aaliya-pollachi-iid-1828580623,Buy & Sell Used Other Brands Cycles in Aaliya,Buy and sell second hand Other Brands Bicycles & Cycles in Aaliya. OLX provides the best Free Online Classified Advertising in India.,15000,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/8.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/9.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/10.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/11.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/12.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/13.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/14.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/15.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/16.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/17.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/18.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/19.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/20.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/21.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/22.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/23.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/24.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/25.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/26.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/27.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/28.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/29.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/30.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/31.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/32.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/33.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/35.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/36.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/37.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/38.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/39.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/40.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_373dbaa804/41.jpg""]",40,2025-12-07 09:56:17.616653
cycle_1bdcc6b209,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-surul-bolpur-iid-1828580578,Kriss drona,New cycle no used - Bicycles,2500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1bdcc6b209/8.jpg""]",8,2025-12-07 09:58:31.120089
cycle_c55000047c,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-pandalam-pathanamthitta-iid-1828329066,Emotorad T Rex Pro Electric cycle for sale,Emotorad T- Rex Pro Electric cycle for sale. 6 months old. All components in warranty. - Bicycles,42000,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c55000047c/8.jpg""]",8,2025-12-07 09:59:17.396798
cycle_52ec2f76cd,https://www.olx.in/item/bicycles-c1415-used-hercules-in-konjengbam-leikai-moirang-iid-1828580705,New! Helcules reedem cycke,Hecules reedem cycle - Bicycles,7500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_52ec2f76cd/8.jpg""]",8,2025-12-07 09:59:25.206908
cycle_d27040c4ef,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-airoli-navi-mumbai-iid-1828580301,Buy & Sell Used Other Brands Cycles in Airoli,Buy and sell second hand Other Brands Bicycles & Cycles in Airoli. OLX provides the best Free Online Classified Advertising in India.,2500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/8.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/9.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/10.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/11.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/12.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/13.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/14.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/15.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/16.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/17.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/18.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/19.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/20.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/21.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/22.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/23.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/24.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/25.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/26.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/27.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/28.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/29.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/30.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/31.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/32.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/33.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/34.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/35.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/36.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/37.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/38.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/39.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/40.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/41.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/42.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/43.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/44.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/45.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/46.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/47.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/48.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_d27040c4ef/49.jpg""]",49,2025-12-07 10:00:19.983989
cycle_dd84ee2f2a,https://www.olx.in/item/bicycles-c1415-used-hero-in-gram-guda-gwalior-iid-1828580103,Hero company,Best condition - Bicycles,3000,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_dd84ee2f2a/8.jpg""]",8,2025-12-07 10:00:24.722583
cycle_5c94f5e462,https://www.olx.in/item/bicycles-c1415-used-hero-in-aunladuba-rairangpur-iid-1828580618,Hero Sprint cycle,My son don't use it - Bicycles,11000,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_5c94f5e462/8.jpg""]",8,2025-12-07 10:02:36.846630
cycle_35a7d7fc4f,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-loni-ghaziabad-iid-1828580164,Cycle new Condition,22 Inch Cycle in New Condition - Bicycles,2800,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_35a7d7fc4f/8.jpg""]",8,2025-12-07 10:02:42.147871
cycle_9251bd6a4f,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-umiya-nagar-ahmedabad-iid-1828579927,Big boy BYCYCLE,Gool looking cycle - Bicycles,2500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_9251bd6a4f/8.jpg""]",8,2025-12-07 10:03:28.973714
cycle_bf30e45f64,https://www.olx.in/item/bicycles-c1415-used-atlas-in-kamla-nagar-agra-iid-1827909266,"Atlas cycle, new condition",Atlas amaze cycle - Bicycles,1500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_bf30e45f64/8.jpg""]",8,2025-12-07 10:03:41.281035
cycle_8cec37849a,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-pulickalkavala-kottayam-iid-1828580392,"Cardiac Stinger X7 Bicycle - 7 Speed Gear, Dual Disc, 29",Selling my Cardiac Stinger X7 bicycle in good condition. *7-speed gear system *Suspension fork for smooth rides *Dual disc brakes for better control * 29-inch tyre size perfect for city & off-road *Strong steel/mild steel frame - durable build *Suitable for age group 15+ *Fully fitted and ready to ride Price: ₹4500 - Bicycles,4500,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_8cec37849a/8.jpg""]",8,2025-12-07 10:03:48.845346
cycle_32549d4d6e,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-ali-colony-indore-iid-1828580988,Urjent sale,Singal hand use - Bicycles,2400,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_32549d4d6e/8.jpg""]",8,2025-12-07 10:03:55.765052
cycle_c34380480c,https://www.olx.in/item/bicycles-c1415-used-firefox-in-kakadev-kanpur-iid-1828580626,Totally new,Until no any service have done because it is run just only 20 km so this is totally new - Bicycles,5000,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_c34380480c/8.jpg""]",8,2025-12-07 10:04:44.519589
cycle_1a8bb019fb,https://www.olx.in/item/bicycles-c1415-used-other-brands-in-ziarat-kairana-iid-1828580143,Super Speedo cycle,Ye cycle mai 1000 me bechunga ye cycle 1 year old hai - Bicycles,1100,"[""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/1.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/2.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/3.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/4.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/5.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/6.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/7.jpg"", ""/content/drive/MyDrive/olx_cycle_dataset/images/cycle_1a8bb019fb/8.jpg""]",8,2025-12-07 10:04:50.375406
